;;;;;;;;;;;;;;;;;
;;X11;;"X;2";;;X13;;;"X;4";;"X;5";;X16;"y;";LS;LMS
;1;.5730;;.1059;;;.4650;;;.5380;;.8410;;1.000;.5340;-.7250;-.0827
;2;.6510;;.1356;;;.5270;;;.5450;;.8870;;1.000;.5350;.0472;.0013
;3;.6060;;.1273;;;.4940;;;.5210;;.9200;;1.000;.5700;1.2427;.2836
;4;.4370;;.1591;;;.4460;;;.4230;;.9920;;1.000;.4500;.3547;-7.6137
;5;.5470;;.1135;;;.5310;;;.5190;;.9150;;1.000;.5480;1.0024;.9020
;6;.4440;;.1628;;;.4290;;;.4110;;.9840;;1.000;.4310;-.4518;-9.1023
;7;.4890;;.1231;;;.5620;;;.4550;;.8240;;1.000;.4810;.9067;.3746
;8;.4130;;.1673;;;.4180;;;.4300;;.9780;;1.000;.4230;-.0349;-8.9077
;9;.5360;;.1182;;;.5920;;;.4640;;.8540;;1.000;.4750;-.3959;-.3746
;10;.6850;;.1564;;;.6310;;;.5640;;.9140;;1.000;.4860;-.4150;-.2071
;11;.6640;;.1588;;;.5060;;;.4810;;.8670;;1.000;.5540;1.9859;.0013
;12;.7030;;.1335;;;.5190;;;.4840;;.8120;;1.000;.5190;-1.1977;-.9656
;13;.6530;;.1395;;;.6250;;;.5190;;.8920;;1.000;.4920;-.4854;.0013
;14;.5860;;.1114;;;.5050;;;.5650;;.8890;;1.000;.5170;-1.2612;-.6709
;15;.5340;;.1143;;;.5210;;;.5700;;.8890;;1.000;.5020;-.5866;-.1733
;16;.5230;;.1320;;;.5050;;;.6120;;.9190;;1.000;.5080;.5237;.0013
;17;.5800;;.1249;;;.5460;;;.6080;;.9540;;1.000;.5200;-.2548;.0013
;18;.4480;;.1028;;;.5220;;;.5340;;.9180;;1.000;.5060;.2838;-.1090
;19;.4170;;.1687;;;.4050;;;.4150;;.9810;;1.000;.4010;-1.0837;-10.7265
;20;.5280;;.1057;;;.4240;;;.5660;;.9090;;1.000;.5680;.5450;.0013